局,時,タイトル,1,2,3,4,5,6,7,8,9,10,11,平均,推移
CX,月21,コンフィデンスマンJP,9.4,7.7,9.1,9.2,9.3,8.2,8.9,8.3,9.5,9.2,-,8.88%,5-4-0
CX,火21,シグナル,9.7,8.4,8.3,7.9,6.7,5.7,6.9,6.9,7.3,9.2,-,7.79%,3-5-1
TBS,火22,花のち晴れ,7.4,7.9,9.6,9.0,8.7,8.3,7.5,9.6,8.6,5.2,9.5,8.30%,4-6-0
NTV,水22,正義のセ,11.0,9.9,10.3,9.4,9.1,10.5,9.0,9.4,8.9,10.0,-,9.77%,4-5-0
EX,木21,未解決の女,14.7,12.8,11.6,12.7,11.5,12.7,13.4,13.9,-,-,-,13.02%,4-3-0
CX,木22,モンテ・クリスト伯,5.1,5.7,7.1,6.5,5.3,6.0,5.9,7.4,6.8,-,-,6.23%,4-4-0
NTV,木23,ラブリラン,3.9,2.7,2.5,2.6,3.0,2.4,3.6,2.9,3.4,3.3,-,3.03%,4-5-0
TBS,金22,あなたには帰る家がある,9.3,8.1,9.1,6.5,8.0,7.9,9.0,7.7,8.2,9.7,9.3,8.46%,5-5-0
EX,金23,家政夫のミタゾノ,7.2,7.2,5.1,7.5,6.3,8.1,6.7,5.7,-,-,-,6.73%,2-4-1
NTV,土22,Missデビル,9.6,8.1,8.8,6.8,7.2,9.3,7.8,7.6,7.5,9.3,-,8.24%,4-5-0
EX,土23,おっさんずラブ,2.9,4.2,3.8,3.5,3.9,3.9,5.7,-,-,-,-,3.99%,3-2-1
TBS,日21,ブラックペアン,13.7,12.4,12.1,13.1,13.4,13.0,13.0,16.6,16.2,18.6,-,14.29%,4-4-1
NTV,日22,崖っぷちホテル！,10.6,6.1,6.5,7.0,7.2,7.1,7.3,7.8,7.0,7.9,-,7.45%,6-3-0
