局,時,タイトル,1,2,3,4,5,6,7,8,9,10,平均,推移
CX,月21,海月姫,8.6,6.9,5.9,7.5,5.3,5.0,4.9,5.0,6.0,5.8,6.14%,3-6-0
CX,火21,FINAL CUT,7.2,6.5,6.5,6.5,6.7,6.8,6.9,7.1,7.5,-,6.93%,5-1-2
TBS,火22,きみが心に棲みついた,9.4,8.5,8.4,7.0,7.0,6.9,6.5,7.9,7.0,8.3,7.74%,2-6-1
NTV,水22,anone,9.2,7.2,6.6,6.4,5.9,5.5,4.9,5.4,4.4,5.6,6.16%,2-7-0
EX,木21,BG,15.7,15.1,13.4,13.6,14.0,14.8,15.8,16.4,17.3,-,15.24%,6-2-0
CX,木22,隣の家族は青く見える,7.0,6.2,5.9,6.0,4.6,5.7,5.7,6.5,6.9,7.9,6.26%,5-3-1
NTV,木23,リピート,3.8,2.9,3.2,3.6,3.3,3.0,3.2,2.2,2.6,3.1,3.09%,5-4-0
TBS,金22,アンナチュラル,12.7,13.1,10.6,11.4,9.0,10.1,9.3,10.5,10.6,13.3,11.14%,6-3-0
EX,金23,ホリデイラブ,5.1,5.8,5.1,4.7,4.2,5.7,5.6,5.3,-,-,5.19%,2-5-0
NTV,土22,もみ消して冬,13.3,11.1,11.1,11.0,7.1,8.1,6.6,9.5,9.0,10.8,9.82%,3-5-1
EX,土23,明日の君がもっと好き,4.3,3.9,3.6,3.4,2.6,3.8,2.7,-,-,-,3.47%,1-5-0
TBS,日21,99.9,15.1,18.0,16.2,16.8,17.0,17.0,17.4,18.0,21.0,-,17.63%,6-1-1
NTV,日22,トドメの接吻,7.4,6.5,7.1,6.7,7.3,5.9,7.3,6.5,7.1,7.5,6.95%,5-4-0
