局,時,タイトル,1,2,3,4,5,6,7,8,9,10,11,平均,推移
CX,月21,SUITS,14.2,11.1,10.3,8.9,11.8,9.5,9.8,10.5,9.9,10.4,10.8,10.81%,5-5-0
CX,火21,僕らは奇跡でできている,7.6,6.1,6.2,7.0,6.0,6.4,7.2,6.4,6.9,5.6,-,6.58%,5-4-0
TBS,火22,中学聖日記,6.0,6.5,6.2,5.4,6.5,7.0,6.3,7.5,7.8,7.3,9.6,6.92%,6-4-0
NTV,水22,獣になれない私たち,11.5,8.5,8.1,6.7,8.3,10.0,8.6,9.9,7.1,8.3,-,8.75%,4-5-0
EX,木21,リーガルV,15.0,18.1,15.9,16.5,15.4,14.4,14.2,13.4,17.6,-,-,15.74%,3-5-0
CX,木22,黄昏流星群,7.3,7.3,6.1,6.5,6.7,6.5,6.4,6.2,7.4,6.5,-,6.71%,3-5-1
NTV,木23,ブラックスキャンダル,4.3,3.3,3.0,3.3,3.0,2.8,3.5,2.9,3.2,4.0,-,3.33%,4-5-0
TBS,金22,大恋愛,10.4,10.6,10.9,9.6,10.4,7.6,9.0,8.5,10.0,13.2,-,10.11%,6-3-0
EX,金23,僕とシッポと神楽坂,6.6,5.4,4.9,4.3,5.0,4.7,4.9,6.2,-,-,-,5.25%,3-4-0
NTV,土22,ドロ刑,11.8,8.6,8.5,8.4,8.4,8.1,8.7,7.6,8.4,9.0,-,8.83%,3-5-1
EX,土23,あなたには渡さない,4.3,4.6,3.1,2.5,3.7,3.0,3.9,-,-,-,-,3.59%,3-3-0
TBS,日21,下町ロケット,13.9,12.4,14.7,13.4,12.7,13.1,12.0,11.5,12.6,15.5,16.6,13.61%,5-5-0
NTV,日22,今日から俺は!!,9.8,8.3,8.9,9.1,9.8,9.4,10.6,9.4,10.8,12.6,-,9.87%,6-3-0
