局,時,タイトル,1,2,3,4,5,6,7,8,9,10,11,平均,推移
CX,月21,トレース,12.3,11.8,9.6,11.0,10.0,10.4,9.9,9.8,9.8,10.6,11.5,10.75%,4-5-1
CX,火21,後妻業,8.7,6.5,6.2,5.9,5.6,5.7,6.2,5.7,5.1,-,-,6.25%,2-6-0
TBS,火22,初めて恋をした日に読む話,8.6,9.0,8.8,7.8,7.3,8.6,7.8,8.7,8.8,9.6,-,8.50%,5-4-0
NTV,水22,家売るオンナの逆襲,12.7,12.9,11.4,10.7,11.5,11.2,11.0,10.2,10.2,12.6,-,11.46%,3-5-1
EX,木21,ハケン占い師アタル,12.1,10.9,10.0,10.3,10.3,9.5,10.9,9.8,11.3,-,-,10.65%,3-4-1
CX,木22,QUEEN,9.3,5.8,6.4,7.1,7.3,6.8,6.2,6.1,6.6,6.0,-,6.83%,4-5-0
NTV,木23,人生が楽しくなる幸せの法則,3.8,3.4,3.2,3.4,2.3,2.6,2.7,2.6,2.6,3.2,-,2.98%,4-4-1
TBS,金22,メゾン・ド・ポリス,12.7,12.4,10.7,10.2,9.6,9.9,8.3,9.1,9.4,10.2,-,10.31%,4-5-0
EX,金23,私のおじさん,5.6,4.4,4.0,5.5,3.9,3.8,2.5,3.2,-,-,-,4.11%,2-5-0
NTV,土22,イノセンス,8.3,8.7,9.4,9.3,9.0,9.4,9.5,9.5,8.9,9.6,-,9.14%,5-3-1
EX,土23,僕の初恋をキミに捧ぐ,3.3,2.5,4.1,2.7,3.3,2.3,3.7,-,-,-,-,3.13%,3-3-0
TBS,日21,グッドワイフ,10.0,11.5,9.6,9.0,8.5,9.5,8.9,8.7,9.7,11.5,-,9.77%,4-5-0
NTV,日22,3年A組,10.2,10.6,11.0,9.3,10.4,11.7,11.9,12.0,12.9,15.4,-,11.47%,8-1-0
