,,昼夜間人口比率（％）,年少人口割合［15歳未満人口］（％）,老年人口割合［65歳以上人口］（％）,人口増減率（％）,粗出生率（人口千人当たり）,粗死亡率（人口千人当たり）,婚姻率（人口千人当たり）,離婚率（人口千人当たり）,高等学校数（15〜17歳人口10万人当たり）（校）,高等学校数（可住地面積100k㎡当たり）（校）,高等学校卒業者の進学率（％）,労働力人口比率［男］（％）,労働力人口比率［女］（％）,完全失業率［男］（％）,完全失業率［女］（％）,交通事故発生件数（人口10万人当たり）（件）,刑法犯認知件数（人口千人当たり）（件）,食料費割合［二人以上の世帯］（％）,住居費割合［二人以上の世帯］（％）,教育費割合［二人以上の世帯］（％）,平均貯蓄率［勤労者世帯］（％）,趣味・娯楽の平均時間［有業者・男］（時間.分）,趣味・娯楽の平均時間［無業者・男］（時間.分）,趣味・娯楽の平均時間［有業者・女］（時間.分）,趣味・娯楽の平均時間［無業者・女］（時間.分）
地域名,地域コード,2010,2012,2012,2012,2012,2012,2012,2012,2012,2012,2011,2010,2010,2010,2010,2012,2011,2012,2012,2012,2012,2011,2011,2011,2011
滋賀県,25000,96.6,14.8,21.6,0.07,9.35,8.64,5.22,1.66,134.8,4.47,57.3,71.9,48.3,5.8,4.1,570.4,9.73,25.8,4.6,3.3,18.7,0.42,1.21,0.32,0.52
京都府,26000,101.2,12.6,24.7,-0.27,7.66,9.68,5.02,1.77,145.4,8.83,66.4,69.2,47.1,7.2,4.9,471.3,14.37,26.9,6.7,3.3,18.8,0.41,1.29,0.31,0.44
大阪府,27000,104.7,13.0,23.7,-0.06,8.24,9.09,5.43,2.12,107.8,19.77,58.1,66.0,43.9,9.1,6.4,544.4,17.52,25.4,7.8,6.3,15.1,0.36,1.21,0.30,0.47
兵庫県,28000,95.7,13.5,24.3,-0.20,8.34,9.63,5.07,1.84,131.6,7.67,60.0,68.1,44.3,7.5,5.2,611.3,13.71,25.7,7.2,3.7,6.5,0.43,1.15,0.31,0.40
奈良県,29000,89.9,12.9,25.5,-0.43,7.60,9.82,4.48,1.72,122.7,6.22,58.7,66.9,41.4,8.7,5.7,395.6,9.55,22.5,6.7,5.3,11.8,0.40,1.21,0.30,0.40
和歌山県,30000,98.1,12.5,28.4,-0.70,7.51,12.59,4.72,1.98,168.2,4.65,48.0,68.7,44.8,8.2,4.9,547.6,11.01,25.8,4.4,3.8,22.9,0.37,1.18,0.25,0.48
鳥取県,31000,100.0,13.2,27.2,-0.51,8.20,12.15,4.74,1.83,171.8,3.40,43.3,70.8,51.1,7.3,4.2,238.7,8.45,23.7,6.3,2.9,10.8,0.46,1.00,0.26,0.37
島根県,32000,100.0,12.7,30.0,-0.70,7.90,13.46,4.40,1.43,228.2,3.88,47.0,69.4,49.1,5.6,3.2,244.0,6.27,23.4,7.8,1.7,22.6,0.42,1.02,0.23,0.39
岡山県,33000,99.9,13.5,26.2,-0.26,8.41,10.94,4.94,1.82,157.5,4.04,51.6,70.5,47.4,8.7,5.3,775.9,12.30,22.7,8.4,3.8,21.1,0.42,1.32,0.30,0.56
広島県,34000,100.3,13.5,25.3,-0.25,8.72,10.28,5.15,1.78,155.4,5.63,60.0,69.8,47.5,6.2,4.3,521.4,9.08,23.6,7.3,3.8,23.2,0.42,0.58,0.26,0.47
山口県,35000,99.5,12.6,29.2,-0.76,7.55,12.74,4.58,1.67,206.3,4.95,42.1,68.4,45.3,7.2,4.2,501.5,7.94,21.3,7.5,2.5,16.3,0.43,1.18,0.23,0.41
徳島県,36000,99.7,12.2,28.0,-0.51,7.40,12.60,4.34,1.62,175.1,3.81,49.6,65.9,45.6,9.4,5.4,645.9,8.32,21.3,7.2,4.6,15.0,0.45,1.07,0.24,0.38
香川県,37000,100.2,13.2,27.1,-0.30,8.25,11.50,4.84,1.91,149.4,4.19,49.0,69.5,47.9,7.5,4.6,1075.5,9.27,21.2,5.9,4.3,23.6,0.38,1.14,0.26,0.41
愛媛県,38000,100.1,12.8,27.8,-0.56,7.87,12.17,4.51,1.79,156.8,4.02,50.7,69.1,46.1,8.8,5.3,502.3,11.35,23.1,9.0,4.4,20.6,0.45,1.04,0.28,0.39
